label,feature,period,band,n,success,success_rate
GE1R,last_bar_body_zw,DEV,Q1,197,91,0.4619289340101523
GE1R,last_bar_body_zw,DEV,Q2,196,101,0.5153061224489796
GE1R,last_bar_body_zw,DEV,Q3,196,90,0.45918367346938777
GE1R,last_bar_body_zw,DEV,Q4,196,93,0.4744897959183674
GE1R,last_bar_body_zw,REF,Q1,101,59,0.5841584158415841
GE1R,last_bar_body_zw,REF,Q2,130,68,0.5230769230769231
GE1R,last_bar_body_zw,REF,Q3,98,48,0.4897959183673469
GE1R,last_bar_body_zw,REF,Q4,134,66,0.4925373134328358
GE1R,last_bar_range_zw,DEV,Q1,197,98,0.49746192893401014
GE1R,last_bar_range_zw,DEV,Q2,196,101,0.5153061224489796
GE1R,last_bar_range_zw,DEV,Q3,196,94,0.47959183673469385
GE1R,last_bar_range_zw,DEV,Q4,196,82,0.41836734693877553
GE1R,last_bar_range_zw,REF,Q1,133,62,0.46616541353383456
GE1R,last_bar_range_zw,REF,Q2,114,60,0.5263157894736842
GE1R,last_bar_range_zw,REF,Q3,115,56,0.48695652173913045
GE1R,last_bar_range_zw,REF,Q4,101,63,0.6237623762376238
GE1R,h1_nearest_high_room_zw,DEV,Q1,197,111,0.5634517766497462
GE1R,h1_nearest_high_room_zw,DEV,Q2,197,92,0.467005076142132
GE1R,h1_nearest_high_room_zw,DEV,Q3,195,94,0.48205128205128206
GE1R,h1_nearest_high_room_zw,DEV,Q4,196,78,0.3979591836734694
GE1R,h1_nearest_high_room_zw,REF,Q1,169,81,0.47928994082840237
GE1R,h1_nearest_high_room_zw,REF,Q2,120,61,0.5083333333333333
GE1R,h1_nearest_high_room_zw,REF,Q3,82,47,0.573170731707317
GE1R,h1_nearest_high_room_zw,REF,Q4,91,52,0.5714285714285714
GE1R,h1_nearest_low_distance_zw,DEV,Q1,197,102,0.5177664974619289
GE1R,h1_nearest_low_distance_zw,DEV,Q2,196,91,0.4642857142857143
GE1R,h1_nearest_low_distance_zw,DEV,Q3,196,104,0.5306122448979592
GE1R,h1_nearest_low_distance_zw,DEV,Q4,196,78,0.3979591836734694
GE1R,h1_nearest_low_distance_zw,REF,Q1,163,77,0.4723926380368098
GE1R,h1_nearest_low_distance_zw,REF,Q2,121,70,0.5785123966942148
GE1R,h1_nearest_low_distance_zw,REF,Q3,84,44,0.5238095238095238
GE1R,h1_nearest_low_distance_zw,REF,Q4,95,50,0.5263157894736842
GE1R,h1_close_to_demand_high_zw,DEV,Q1,197,107,0.5431472081218274
GE1R,h1_close_to_demand_high_zw,DEV,Q2,196,93,0.4744897959183674
GE1R,h1_close_to_demand_high_zw,DEV,Q3,196,90,0.45918367346938777
GE1R,h1_close_to_demand_high_zw,DEV,Q4,196,85,0.4336734693877551
GE1R,h1_close_to_demand_high_zw,REF,Q1,127,61,0.48031496062992124
GE1R,h1_close_to_demand_high_zw,REF,Q2,117,64,0.5470085470085471
GE1R,h1_close_to_demand_high_zw,REF,Q3,112,57,0.5089285714285714
GE1R,h1_close_to_demand_high_zw,REF,Q4,107,59,0.5514018691588785
GE1R,h1_close_to_demand_low_zw,DEV,Q1,197,107,0.5431472081218274
GE1R,h1_close_to_demand_low_zw,DEV,Q2,196,93,0.4744897959183674
GE1R,h1_close_to_demand_low_zw,DEV,Q3,196,90,0.45918367346938777
GE1R,h1_close_to_demand_low_zw,DEV,Q4,196,85,0.4336734693877551
GE1R,h1_close_to_demand_low_zw,REF,Q1,127,61,0.48031496062992124
GE1R,h1_close_to_demand_low_zw,REF,Q2,117,64,0.5470085470085471
GE1R,h1_close_to_demand_low_zw,REF,Q3,112,57,0.5089285714285714
GE1R,h1_close_to_demand_low_zw,REF,Q4,107,59,0.5514018691588785
GE1_5R,demand_width_pct,DEV,Q1,197,65,0.3299492385786802
GE1_5R,demand_width_pct,DEV,Q2,196,67,0.34183673469387754
GE1_5R,demand_width_pct,DEV,Q3,196,71,0.3622448979591837
GE1_5R,demand_width_pct,DEV,Q4,196,81,0.413265306122449
GE1_5R,demand_width_pct,REF,Q1,149,61,0.40939597315436244
GE1_5R,demand_width_pct,REF,Q2,118,57,0.4830508474576271
GE1_5R,demand_width_pct,REF,Q3,112,45,0.4017857142857143
GE1_5R,demand_width_pct,REF,Q4,84,30,0.35714285714285715
GE1_5R,bos_break_pct,DEV,Q1,197,71,0.3604060913705584
GE1_5R,bos_break_pct,DEV,Q2,196,70,0.35714285714285715
GE1_5R,bos_break_pct,DEV,Q3,196,72,0.3673469387755102
GE1_5R,bos_break_pct,DEV,Q4,196,71,0.3622448979591837
GE1_5R,bos_break_pct,REF,Q1,139,67,0.48201438848920863
GE1_5R,bos_break_pct,REF,Q2,141,58,0.41134751773049644
GE1_5R,bos_break_pct,REF,Q3,120,49,0.4083333333333333
GE1_5R,bos_break_pct,REF,Q4,63,19,0.30158730158730157
GE1_5R,bos_body_zw,DEV,Q1,197,73,0.37055837563451777
GE1_5R,bos_body_zw,DEV,Q2,196,69,0.3520408163265306
GE1_5R,bos_body_zw,DEV,Q3,196,71,0.3622448979591837
GE1_5R,bos_body_zw,DEV,Q4,196,71,0.3622448979591837
GE1_5R,bos_body_zw,REF,Q1,157,65,0.4140127388535032
GE1_5R,bos_body_zw,REF,Q2,116,54,0.46551724137931033
GE1_5R,bos_body_zw,REF,Q3,88,35,0.3977272727272727
GE1_5R,bos_body_zw,REF,Q4,102,39,0.38235294117647056
GE1_5R,bos_range_zw,DEV,Q1,197,70,0.3553299492385787
GE1_5R,bos_range_zw,DEV,Q2,196,73,0.37244897959183676
GE1_5R,bos_range_zw,DEV,Q3,196,74,0.37755102040816324
GE1_5R,bos_range_zw,DEV,Q4,196,67,0.34183673469387754
GE1_5R,bos_range_zw,REF,Q1,157,63,0.4012738853503185
GE1_5R,bos_range_zw,REF,Q2,121,54,0.4462809917355372
GE1_5R,bos_range_zw,REF,Q3,79,39,0.4936708860759494
GE1_5R,bos_range_zw,REF,Q4,106,37,0.3490566037735849
GE1_5R,bos_close_location,DEV,Q1,197,71,0.3604060913705584
GE1_5R,bos_close_location,DEV,Q2,196,75,0.3826530612244898
GE1_5R,bos_close_location,DEV,Q3,196,66,0.336734693877551
GE1_5R,bos_close_location,DEV,Q4,196,72,0.3673469387755102
GE1_5R,bos_close_location,REF,Q1,128,50,0.390625
GE1_5R,bos_close_location,REF,Q2,108,44,0.4074074074074074
GE1_5R,bos_close_location,REF,Q3,118,54,0.4576271186440678
GE1_5R,bos_close_location,REF,Q4,109,45,0.41284403669724773
GE1_5R,zone_age_hours,DEV,Q1,197,69,0.350253807106599
GE1_5R,zone_age_hours,DEV,Q2,198,65,0.3282828282828283
GE1_5R,zone_age_hours,DEV,Q3,194,71,0.36597938144329895
GE1_5R,zone_age_hours,DEV,Q4,196,79,0.4030612244897959
GE1_5R,zone_age_hours,REF,Q1,97,39,0.4020618556701031
GE1_5R,zone_age_hours,REF,Q2,111,40,0.36036036036036034
GE1_5R,zone_age_hours,REF,Q3,120,51,0.425
GE1_5R,zone_age_hours,REF,Q4,135,63,0.4666666666666667
GE1_5R,origin_to_activation_hours,DEV,Q1,468,158,0.33760683760683763
GE1_5R,origin_to_activation_hours,DEV,Q3,187,76,0.40641711229946526
GE1_5R,origin_to_activation_hours,DEV,Q4,130,50,0.38461538461538464
GE1_5R,origin_to_activation_hours,REF,Q1,279,108,0.3870967741935484
GE1_5R,origin_to_activation_hours,REF,Q3,103,50,0.4854368932038835
GE1_5R,origin_to_activation_hours,REF,Q4,81,35,0.43209876543209874
GE1_5R,broken_swing_to_activation_hours,DEV,Q1,308,126,0.4090909090909091
GE1_5R,broken_swing_to_activation_hours,DEV,Q2,136,49,0.3602941176470588
GE1_5R,broken_swing_to_activation_hours,DEV,Q3,163,54,0.3312883435582822
GE1_5R,broken_swing_to_activation_hours,DEV,Q4,178,55,0.3089887640449438
GE1_5R,broken_swing_to_activation_hours,REF,Q1,191,80,0.418848167539267
GE1_5R,broken_swing_to_activation_hours,REF,Q2,78,29,0.3717948717948718
GE1_5R,broken_swing_to_activation_hours,REF,Q3,91,38,0.4175824175824176
GE1_5R,broken_swing_to_activation_hours,REF,Q4,103,46,0.44660194174757284
GE1_5R,expansion_room_zw,DEV,Q1,197,66,0.3350253807106599
GE1_5R,expansion_room_zw,DEV,Q2,196,78,0.3979591836734694
GE1_5R,expansion_room_zw,DEV,Q3,196,72,0.3673469387755102
GE1_5R,expansion_room_zw,DEV,Q4,196,68,0.3469387755102041
GE1_5R,expansion_room_zw,REF,Q1,102,37,0.3627450980392157
GE1_5R,expansion_room_zw,REF,Q2,116,46,0.39655172413793105
GE1_5R,expansion_room_zw,REF,Q3,125,57,0.456
GE1_5R,expansion_room_zw,REF,Q4,120,53,0.44166666666666665
GE1_5R,pullback_bars,DEV,Q1,269,84,0.31226765799256506
GE1_5R,pullback_bars,DEV,Q2,165,60,0.36363636363636365
GE1_5R,pullback_bars,DEV,Q3,180,65,0.3611111111111111
GE1_5R,pullback_bars,DEV,Q4,171,75,0.43859649122807015
GE1_5R,pullback_bars,REF,Q1,150,58,0.38666666666666666
GE1_5R,pullback_bars,REF,Q2,95,45,0.47368421052631576
GE1_5R,pullback_bars,REF,Q3,101,42,0.4158415841584158
GE1_5R,pullback_bars,REF,Q4,117,48,0.41025641025641024
GE1_5R,pullback_duration_hours,DEV,Q1,269,84,0.31226765799256506
GE1_5R,pullback_duration_hours,DEV,Q2,165,60,0.36363636363636365
GE1_5R,pullback_duration_hours,DEV,Q3,180,65,0.3611111111111111
GE1_5R,pullback_duration_hours,DEV,Q4,171,75,0.43859649122807015
GE1_5R,pullback_duration_hours,REF,Q1,150,58,0.38666666666666666
GE1_5R,pullback_duration_hours,REF,Q2,95,45,0.47368421052631576
GE1_5R,pullback_duration_hours,REF,Q3,101,42,0.4158415841584158
GE1_5R,pullback_duration_hours,REF,Q4,117,48,0.41025641025641024
GE1_5R,retracement_expansion_to_preclose_zw,DEV,Q1,197,66,0.3350253807106599
GE1_5R,retracement_expansion_to_preclose_zw,DEV,Q2,196,78,0.3979591836734694
GE1_5R,retracement_expansion_to_preclose_zw,DEV,Q3,196,72,0.3673469387755102
GE1_5R,retracement_expansion_to_preclose_zw,DEV,Q4,196,68,0.3469387755102041
GE1_5R,retracement_expansion_to_preclose_zw,REF,Q1,102,37,0.3627450980392157
GE1_5R,retracement_expansion_to_preclose_zw,REF,Q2,116,46,0.39655172413793105
GE1_5R,retracement_expansion_to_preclose_zw,REF,Q3,125,57,0.456
GE1_5R,retracement_expansion_to_preclose_zw,REF,Q4,120,53,0.44166666666666665
GE1_5R,pullback_total_range_zw,DEV,Q1,197,65,0.3299492385786802
GE1_5R,pullback_total_range_zw,DEV,Q2,196,78,0.3979591836734694
GE1_5R,pullback_total_range_zw,DEV,Q3,196,73,0.37244897959183676
GE1_5R,pullback_total_range_zw,DEV,Q4,196,68,0.3469387755102041
GE1_5R,pullback_total_range_zw,REF,Q1,105,38,0.3619047619047619
GE1_5R,pullback_total_range_zw,REF,Q2,119,46,0.3865546218487395
GE1_5R,pullback_total_range_zw,REF,Q3,119,56,0.47058823529411764
GE1_5R,pullback_total_range_zw,REF,Q4,120,53,0.44166666666666665
GE1_5R,lower_high_count,DEV,Q1,261,82,0.31417624521072796
GE1_5R,lower_high_count,DEV,Q2,197,73,0.37055837563451777
GE1_5R,lower_high_count,DEV,Q3,142,52,0.36619718309859156
GE1_5R,lower_high_count,DEV,Q4,185,77,0.41621621621621624
GE1_5R,lower_high_count,REF,Q1,148,55,0.3716216216216216
GE1_5R,lower_high_count,REF,Q2,110,51,0.4636363636363636
GE1_5R,lower_high_count,REF,Q3,85,38,0.4470588235294118
GE1_5R,lower_high_count,REF,Q4,120,49,0.4083333333333333
GE1_5R,lower_high_rate,DEV,Q1,197,65,0.3299492385786802
GE1_5R,lower_high_rate,DEV,Q2,200,85,0.425
GE1_5R,lower_high_rate,DEV,Q3,388,134,0.34536082474226804
GE1_5R,lower_high_rate,REF,Q1,111,41,0.36936936936936937
GE1_5R,lower_high_rate,REF,Q2,120,48,0.4
GE1_5R,lower_high_rate,REF,Q3,232,104,0.4482758620689655
GE1_5R,lower_low_count,DEV,Q1,278,90,0.3237410071942446
GE1_5R,lower_low_count,DEV,Q2,121,44,0.36363636363636365
GE1_5R,lower_low_count,DEV,Q3,216,78,0.3611111111111111
GE1_5R,lower_low_count,DEV,Q4,170,72,0.4235294117647059
GE1_5R,lower_low_count,REF,Q1,151,60,0.3973509933774834
GE1_5R,lower_low_count,REF,Q2,62,26,0.41935483870967744
GE1_5R,lower_low_count,REF,Q3,134,57,0.4253731343283582
GE1_5R,lower_low_count,REF,Q4,116,50,0.43103448275862066
GE1_5R,lower_low_rate,DEV,Q1,198,66,0.3333333333333333
GE1_5R,lower_low_rate,DEV,Q2,195,76,0.38974358974358975
GE1_5R,lower_low_rate,DEV,Q3,392,142,0.3622448979591837
GE1_5R,lower_low_rate,REF,Q1,102,44,0.43137254901960786
GE1_5R,lower_low_rate,REF,Q2,128,50,0.390625
