zone_id,activation_ts,origin_ts,h4_bos_ts,broken_h4_swing_ts,broken_h4_level,h4_bos_close,demand_low,demand_high,first_touch_ts,touch_open,touch_high,touch_low,touch_close,retest_exists,retest_close_holds,expansion_high_exists,expansion_pivot_ts,expansion_confirm_ts,expansion_high,pullback_ge2_h1_bars,has_lower_high,has_lower_low,has_any_correction,visual_equivalent,strict_exact,family
H4D_2022-11-04T04:00:00+00:00,2022-11-04 04:00:00+00:00,2022-11-04 00:00:00+00:00,2022-11-04 04:00:00+00:00,2022-11-03 08:00:00+00:00,339.0,340.19,327.2,331.08,2022-11-07 08:00:00+00:00,337.7,337.74,327.0,327.95,True,True,True,2022-11-07 03:00:00+00:00,2022-11-07 05:00:00+00:00,342.3,True,True,True,True,True,True,STRICT_EXACT
H4D_2022-11-22T16:00:00+00:00,2022-11-22 16:00:00+00:00,2022-11-22 08:00:00+00:00,2022-11-22 16:00:00+00:00,2022-11-21 16:00:00+00:00,262.57,264.47,252.01,256.65,2022-12-13 08:00:00+00:00,260.56,264.2,255.34,263.92,True,True,True,2022-12-13 00:00:00+00:00,2022-12-13 02:00:00+00:00,277.5,True,True,True,True,True,True,STRICT_EXACT
H4D_2022-11-29T08:00:00+00:00,2022-11-29 08:00:00+00:00,2022-11-28 16:00:00+00:00,2022-11-29 08:00:00+00:00,2022-11-28 20:00:00+00:00,299.71,302.06,290.14,294.66,2022-11-29 18:00:00+00:00,298.79,298.8,293.55,295.96,True,True,True,2022-11-29 10:00:00+00:00,2022-11-29 12:00:00+00:00,304.99,True,True,True,True,True,False,VISUAL_ONLY
H4D_2022-12-05T04:00:00+00:00,2022-12-05 04:00:00+00:00,2022-12-04 12:00:00+00:00,2022-12-05 04:00:00+00:00,2022-12-04 08:00:00+00:00,292.71,294.72,289.03,291.11,2022-12-05 16:00:00+00:00,292.72,292.72,289.29,290.32,True,True,True,2022-12-05 07:00:00+00:00,2022-12-05 09:00:00+00:00,297.25,True,True,True,True,True,False,VISUAL_ONLY
H4D_2022-12-18T04:00:00+00:00,2022-12-18 04:00:00+00:00,2022-12-17 20:00:00+00:00,2022-12-18 04:00:00+00:00,2022-12-17 12:00:00+00:00,241.92,246.29,234.5,236.3,2023-06-10 05:00:00+00:00,249.87,249.94,225.0,237.84,True,True,True,2023-06-09 22:00:00+00:00,2023-06-10 00:00:00+00:00,262.5,True,True,True,True,True,True,STRICT_EXACT
H4D_2022-12-29T12:00:00+00:00,2022-12-29 12:00:00+00:00,2022-12-29 08:00:00+00:00,2022-12-29 12:00:00+00:00,2022-12-28 16:00:00+00:00,245.35,245.71,244.2,245.09,2022-12-29 21:00:00+00:00,246.04,246.07,244.46,245.45,True,True,True,2022-12-29 17:00:00+00:00,2022-12-29 19:00:00+00:00,246.75,True,True,False,True,True,False,VISUAL_ONLY
H4D_2023-01-06T16:00:00+00:00,2023-01-06 16:00:00+00:00,2023-01-06 08:00:00+00:00,2023-01-06 16:00:00+00:00,2023-01-06 04:00:00+00:00,258.66,258.88,255.1,257.57,2023-06-07 15:00:00+00:00,269.27,269.28,253.39,256.43,True,True,True,2023-06-06 20:00:00+00:00,2023-06-06 22:00:00+00:00,285.87,True,True,True,True,True,True,STRICT_EXACT
H4D_2023-01-11T20:00:00+00:00,2023-01-11 20:00:00+00:00,2023-01-11 16:00:00+00:00,2023-01-11 20:00:00+00:00,2023-01-11 00:00:00+00:00,278.65,279.63,276.16,277.67,2023-01-12 14:00:00+00:00,283.72,285.93,276.51,285.48,True,True,True,2023-01-12 02:00:00+00:00,2023-01-12 04:00:00+00:00,288.2,True,True,True,True,True,False,VISUAL_ONLY
H4D_2023-01-13T04:00:00+00:00,2023-01-13 04:00:00+00:00,2023-01-12 16:00:00+00:00,2023-01-13 04:00:00+00:00,2023-01-12 04:00:00+00:00,288.2,288.94,276.51,283.18,2023-01-18 17:00:00+00:00,294.25,295.0,281.1,290.68,True,True,True,2023-01-18 04:00:00+00:00,2023-01-18 06:00:00+00:00,305.48,True,True,True,True,True,True,STRICT_EXACT
H4D_2023-01-14T00:00:00+00:00,2023-01-14 00:00:00+00:00,2023-01-13 20:00:00+00:00,2023-01-14 00:00:00+00:00,2023-01-13 08:00:00+00:00,291.78,293.67,285.77,288.49,2023-01-18 16:00:00+00:00,302.68,303.94,288.04,294.26,True,True,True,2023-01-18 04:00:00+00:00,2023-01-18 06:00:00+00:00,305.48,True,True,True,True,True,True,STRICT_EXACT
