period,target_family,candidate,n,runner_n,clean_signals,signal_rate_runner,base_catastrophic,catastrophic_captured,catastrophic_capture_rate,base_target_winners,winner_false_exit,winner_false_exit_rate,base_unresolved,unresolved_exited,signal_precision_nontarget,median_failure_exit_r,median_r_improve_vs_base,median_cat_r_saved,median_lead_to_cat_min,median_false_exit_to_target_min,later_target_after_false_exit,later_target_after_false_exit_rate,false_reclaim_next5_rate,false_reclaim_within15_rate,expectancy_r,total_r,pf,max_dd_r,max_loss_streak,delta_vs_fixed_t1_mean_r,delta_vs_base_mean_r
DEV,T2,F5_T05_TWO_CONSEC_CLOSE5,286,71,37,0.5211267605633803,16,16,1.0,45,14,0.3111111111111111,10,7,0.6216216216216216,0.061328790459968203,0.14486921529175686,1.2038875850033004,222.5,567.5,14,1.0,0.21428571428571427,0.7857142857142857,-0.02820688053128812,-8.067167831948403,0.9387666641932639,28.98151934405537,7,-0.013471633661724547,0.0005620460399559187
DEV,T2,F6_T05_RECLAIM_ATTEMPT_REJECT,286,71,28,0.39436619718309857,16,9,0.5625,45,13,0.28888888888888886,10,6,0.5357142857142857,0.20898688450565778,0.12043010752688188,1.3509803921568693,430.0,615.0,13,1.0,0.5384615384615384,0.7692307692307693,-0.03561699459649085,-10.186460454596382,0.9255759934579026,29.10349992111194,7,-0.020881747726927257,-0.006848068025246799
REF,T15,F1_T05_CLOSE5,160,46,22,0.4782608695652174,10,10,1.0,35,11,0.3142857142857143,1,1,0.5,0.17528351172273898,-0.33940789315901887,1.423262225855343,110.0,450.0,11,1.0,0.2727272727272727,0.5454545454545454,0.12876307271270557,20.60209163403289,1.3766752256092671,9.568205856723317,3,-0.005936898678205374,0.024621612405267692
REF,T15,F2_T05_CLOSE15,160,46,20,0.43478260869565216,10,8,0.8,35,11,0.3142857142857143,1,1,0.45,0.12292612285479154,-0.8733996786399384,1.406574592478397,132.5,390.0,11,1.0,0.09090909090909091,0.36363636363636365,0.10551365621574567,16.882184994519307,1.293481609937818,9.927209070131934,4,-0.029186315175165272,0.0013721959083077939
REF,T15,F3_ANCHOR_CLOSE5,160,46,19,0.41304347826086957,10,10,1.0,35,8,0.22857142857142856,1,1,0.5789473684210527,-0.23969072164949146,0.3853820598006782,0.8109170992606524,35.0,452.5,8,1.0,0.375,0.5,0.08912998191384289,14.260797106214861,1.237663517213992,12.064121469500956,5,-0.045569989477068064,-0.015011478393594995
REF,T15,F4_ANCHOR_CLOSE15,160,46,17,0.3695652173913043,10,8,0.8,35,8,0.22857142857142856,1,1,0.5294117647058824,-0.33095238095238305,-0.23969072164949146,0.7796963826185537,50.0,442.5,8,1.0,0.375,0.375,0.06957537165711222,11.132059465137955,1.1763274269859425,13.138864253974612,5,-0.06512459973379872,-0.03456608865032566
REF,T15,F5_T05_TWO_CONSEC_CLOSE5,160,46,22,0.4782608695652174,10,10,1.0,35,11,0.3142857142857143,1,1,0.5,0.16450356698735702,-0.3634271941773409,1.3804923468321628,100.0,385.0,11,1.0,0.09090909090909091,0.36363636363636365,0.12009202925468272,19.214724680749235,1.3478294570713987,10.175480117902012,4,-0.014607942136228225,0.015950568947244843
REF,T15,F6_T05_RECLAIM_ATTEMPT_REJECT,160,46,18,0.391304347826087,10,6,0.6,35,11,0.3142857142857143,1,1,0.3888888888888889,0.20669111563446171,-0.7705584704463955,1.4039882279767335,185.0,210.0,11,1.0,0.45454545454545453,0.7272727272727273,0.09362043182240273,14.979269091584438,1.2521241257666769,10.866128586009369,4,-0.041079539568508204,-0.010521028485035134
REF,T2,F1_T05_CLOSE5,160,46,25,0.5434782608695652,13,13,1.0,30,9,0.3,3,3,0.64,0.18042813455658566,1.1165644171779012,1.4584717607972868,130.0,720.0,9,1.0,0.2222222222222222,0.6666666666666666,0.16459643460017942,26.335429536028705,1.4814998417740142,9.484683125021885,3,0.029896463209268455,0.044412649711654276
REF,T2,F2_T05_CLOSE15,160,46,22,0.4782608695652174,13,11,0.8461538461538461,30,8,0.26666666666666666,3,3,0.6363636363636364,0.14448730850944166,0.5783974237345316,1.5081539465101108,135.0,720.0,8,1.0,0.25,0.5,0.15083846594188738,24.13415455070198,1.4195505815347689,8.918204670161387,4,0.016138494550976417,0.030654681053362227
REF,T2,F3_ANCHOR_CLOSE5,160,46,21,0.45652173913043476,13,13,1.0,30,5,0.16666666666666666,3,3,0.7619047619047619,-0.28425357873210433,0.6868250539956817,0.927272727272726,40.0,545.0,5,1.0,0.4,0.6,0.13749827174902826,21.999723479844523,1.3619034316610457,10.388528739283032,5,0.0027983003581173284,0.01731448686050314
REF,T2,F4_ANCHOR_CLOSE15,160,46,19,0.41304347826086957,13,11,0.8461538461538461,30,5,0.16666666666666666,3,3,0.7368421052631579,-0.3429697766097154,0.6272727272727294,0.7770961145194202,70.0,535.0,5,1.0,0.6,0.6,0.11481355417478856,18.37016866796617,1.285169200272908,11.463271523756688,5,-0.019886417216122408,-0.0053702307137365995
REF,T2,F5_T05_TWO_CONSEC_CLOSE5,160,46,24,0.5217391304347826,13,13,1.0,30,8,0.26666666666666666,3,3,0.6666666666666666,0.17868784519378622,1.066264972246581,1.3912222746578495,125.0,725.0,8,1.0,0.25,0.5,0.16541683898082443,26.466694236931907,1.4791063124693065,9.085924514399196,4,0.030716867589913467,0.04523305409229928
REF,T2,F6_T05_RECLAIM_ATTEMPT_REJECT,160,46,20,0.43478260869565216,13,9,0.6923076923076923,30,8,0.26666666666666666,3,3,0.6,0.1981724180748926,0.075932488545246,1.64114832535883,235.0,627.5,8,1.0,0.75,0.875,0.13894524154854443,22.23123864776711,1.3741859215232086,9.445961210276849,4,0.004245270157633488,0.018761456660019302
