year,policy,n,runner_n,runner_rate,target_hits,protection_exits,catastrophic_exits,unresolved,samebar_stop_first,positive_n,negative_n,zero_n,expectancy_r,total_r,pf,max_dd_r,max_loss_streak,median_realized_r,median_protection_r,mean_protection_r,delta_vs_fixed_t1_mean_r,delta_vs_matching_base_mean_r,continuation_retention_rate
2023,PROTECT_ANCHOR_TOUCH_T15,98,24,0.24489795918367346,49,5,30,14,0,49,35,14,-0.013445680923601402,-1.3176767305129373,0.9706630471470434,14.212296638284988,5,0.22881355932204125,-0.15471698113206478,-0.1561739045061911,0.02815912561086033,0.011988591780050833,0.9607843137254902
2023,PROTECT_HL5_TOUCH_T15,98,24,0.24489795918367346,46,8,31,13,0,54,31,13,-0.008915756696145881,-0.8737441562222964,0.9808946784177771,13.236133964609138,3,0.4916042569964546,0.5048268407882868,0.542582354674667,0.03268904983831584,0.016518516007506336,0.9019607843137255
2023,BASE_XP1_T2_UNPROTECTED,98,24,0.24489795918367346,47,0,33,18,0,47,33,18,-0.008211535479071365,-0.8047304769489938,0.9833427970284548,13.045893096410243,5,0.0,,,0.03339327105539037,0.0,1.0
2023,PROTECT_T05_TOUCH_T2,98,24,0.24489795918367346,41,12,30,15,0,53,30,15,-0.02316146158796596,-2.269823235620664,0.9485701864956755,15.577919686667828,3,0.17410587061843338,0.24862391828631508,0.26602557087948314,0.01844334494649577,-0.014949926108894604,0.8723404255319149
2023,PROTECT_ANCHOR_TOUCH_T2,98,24,0.24489795918367346,43,8,30,17,0,43,38,17,-0.03973947164953228,-3.8944682216541637,0.9139211498314609,16.09019944289048,5,0.0,-0.13836327525502642,-0.13858083442807978,0.0018653348849294526,-0.031527936170460916,0.9148936170212766
2023,PROTECT_HL5_TOUCH_T2,98,24,0.24489795918367346,41,13,31,13,0,54,31,13,0.009747119468949853,0.9552177079570856,1.0208868252354995,12.327764556239801,3,0.44867171535041217,0.5699373695198318,0.5970835292510317,0.0513519260034116,0.01795865494802123,0.8723404255319149
2024,BASE_XP1_T15_UNPROTECTED,100,25,0.25,51,0,37,12,0,51,37,12,-0.0024858049172834717,-0.24858049172834717,0.9945123615421517,13.795175923538478,5,0.48162028189201855,,,-0.027770415849303984,0.04689070108136299,1.0
2024,PROTECT_T05_TOUCH_T15,100,25,0.25,41,16,32,11,1,57,32,11,-0.006668816411155571,-0.666881641115557,0.9828802435642405,16.172968808178293,4,0.23495888315165572,0.24416195205621427,0.2769227846475976,-0.0319534273431761,-0.004183011493872112,0.803921568627451
2024,PROTECT_ANCHOR_TOUCH_T15,100,25,0.25,50,7,32,11,0,50,39,11,0.04145237371985451,4.145237371985451,1.103419801170972,12.656836002589852,5,0.23317307692307523,-0.1798941798941762,-0.16110564858983967,0.01616776278783399,0.04393817863713798,0.9803921568627451
2024,PROTECT_HL5_TOUCH_T15,100,25,0.25,44,10,35,11,0,54,35,11,-0.00013746368564259592,-0.013746368564259592,0.999677695520224,15.940605766147302,5,0.4726688752424031,0.5423772867427702,0.5208416899621741,-0.025422074617663094,0.0023483412316408756,0.8627450980392157
2024,BASE_XP1_T2_UNPROTECTED,100,25,0.25,45,0,40,15,0,45,40,15,-0.049376505998646444,-4.937650599864645,0.8984592458005318,17.870210092562445,7,0.0,,,-0.07466111693066697,0.0,1.0
2024,PROTECT_T05_TOUCH_T2,100,25,0.25,37,19,32,12,0,56,32,12,-0.01947132782578711,-1.947132782578711,0.9500144599421452,15.727022862232376,4,0.1950844854070723,0.24856486796784782,0.27100772685907343,-0.04475593875780763,0.029905178172859346,0.8222222222222222
2024,PROTECT_ANCHOR_TOUCH_T2,100,25,0.25,42,13,32,13,0,42,45,13,-0.012140934040836127,-1.2140934040836127,0.970423827597746,14.09764315857827,7,0.0,-0.1798941798941762,-0.16121480291788062,-0.037425544972856654,0.037235571957810326,0.9333333333333333
2024,PROTECT_HL5_TOUCH_T2,100,25,0.25,37,15,36,12,0,52,36,12,-0.03640418870656224,-3.6404188706562244,0.9167660977263136,18.03632648686795,7,0.36607990618182107,0.5501285347043686,0.5310193061973184,-0.061688799638582766,0.012972317292084208,0.8222222222222222
2025,BASE_XP1_T15_UNPROTECTED,106,31,0.29245283018867924,63,0,31,12,0,63,31,12,0.204043923675214,21.628655909572686,1.5861854365976806,6.08521097488121,3,0.75575471252049,,,-0.03457687815247541,-0.05184045343702094,1.0
2025,PROTECT_T05_TOUCH_T15,106,31,0.29245283018867924,56,14,24,12,0,70,24,12,0.2483441633190975,26.324481311824336,1.913664799262702,3.5264308019152812,2,0.6623989381657017,0.339604767795716,0.3028985104987297,0.009723361491408096,0.04430023964388351,0.8888888888888888
2025,PROTECT_ANCHOR_TOUCH_T15,106,31,0.29245283018867924,58,12,24,12,0,58,36,12,0.21611185318233533,22.907856437327546,1.7528719488776792,3.8984031202543794,5,0.7220499198670424,-0.106930154802856,-0.13461050152861267,-0.02250894864535405,0.01206792950712136,0.9206349206349206
2025,PROTECT_HL5_TOUCH_T15,106,31,0.29245283018867924,49,18,27,12,0,67,27,12,0.21737973958517,23.042252396028022,1.7147347570516,3.230583051050222,2,0.6685506193863099,0.5407558440066732,0.6364516043122637,-0.02124106224251941,0.013335815909955997,0.7777777777777778
2025,BASE_XP1_T2_UNPROTECTED,106,31,0.29245283018867924,61,0,32,13,0,61,32,13,0.255884377112235,27.123743973896907,1.704400322858266,5.265226139541875,3,0.7367895806062548,,,0.01726357528454554,0.0,1.0
2025,PROTECT_T05_TOUCH_T2,106,31,0.29245283018867924,53,17,24,12,1,70,24,12,0.2788517237125824,29.558282713533732,2.025902927473081,4.074589677447781,2,0.5179968513364575,0.3179265658747343,0.3010380654327144,0.040230921884892926,0.022967346600347393,0.8688524590163934
2025,PROTECT_ANCHOR_TOUCH_T2,106,31,0.29245283018867924,57,13,24,12,0,57,37,12,0.2745834325961936,29.105843855196525,1.953448258320322,3.898403120254379,5,0.6998390372233652,-0.09963099630995714,-0.13191977035794686,0.03596263076850418,0.018699055483958643,0.9344262295081968
2025,PROTECT_HL5_TOUCH_T2,106,31,0.29245283018867924,46,21,27,12,0,67,27,12,0.2406981834369605,25.514007444317812,1.7914047463203144,3.364234154561977,2,0.6685506193863099,0.6580113996200133,0.6887798792443456,0.002077381609271102,-0.01518619367527443,0.7540983606557377
2026,BASE_XP1_T15_UNPROTECTED,54,15,0.2777777777777778,25,0,23,6,0,25,23,6,-0.09196337519227082,-4.9660222603826245,0.8294935723334892,9.194964447553447,4,0.0,,,-0.022670605355431445,0.05422807650648624,1.0
2026,PROTECT_T05_TOUCH_T15,54,15,0.2777777777777778,21,8,20,5,0,29,20,5,-0.0728467492718066,-3.9337244606775563,0.8477499580556254,8.855175069056282,3,0.14845360824743364,0.25083620030582326,0.22920067435444624,-0.0035539794349672034,0.019116625920464238,0.84
2026,PROTECT_ANCHOR_TOUCH_T15,54,15,0.2777777777777778,21,8,20,5,0,21,28,5,-0.13354801714116174,-7.211592925622734,0.7356602134659038,11.67955516190845,5,-0.10560253699789529,-0.16610919979611452,-0.18053288376370077,-0.0642552473043223,-0.04158464194889087,0.84
2026,PROTECT_HL5_TOUCH_T15,54,15,0.2777777777777778,21,7,21,5,0,28,21,5,-0.06762980635214005,-3.652009543015563,0.8643185256435306,9.11492371938329,3,0.26843517067845457,0.4355670103092734,0.45630117018363403,0.0016629634846993474,0.0243335688401308,0.84
2026,BASE_XP1_T2_UNPROTECTED,54,15,0.2777777777777778,22,0,25,7,0,22,25,7,-0.14619145169875708,-7.894338391732883,0.7547717692120407,14.27471291143716,4,0.0,,,-0.0768986818619177,0.0,1.0
2026,PROTECT_T05_TOUCH_T2,54,15,0.2777777777777778,19,10,20,5,0,29,20,5,-0.07039590986376192,-3.8013791326431434,0.8528722237216123,9.606359997108978,3,0.14845360824743364,0.26896324278947914,0.27872136422582783,-0.0011031400269225283,0.07579554183499518,0.8636363636363636
2026,PROTECT_ANCHOR_TOUCH_T2,54,15,0.2777777777777778,21,8,20,5,0,21,28,5,-0.07640072870677166,-4.125639350165669,0.8487753487492795,10.17635715229065,5,-0.10560253699789529,-0.16610919979611452,-0.18053288376370077,-0.0071079588699322896,0.06979072299198542,0.9545454545454546
2026,PROTECT_HL5_TOUCH_T2,54,15,0.2777777777777778,20,8,21,5,0,28,21,5,-0.026328260567616085,-1.4217260706512687,0.9471792482673225,8.553517690744178,3,0.26843517067845457,0.44781822737686716,0.5307068228797533,0.042964509269223294,0.11986319113114101,0.9090909090909091
