period,feature,band,n,survive,survival_rate,dev_q25,dev_q50,dev_q75
DEV,max_bull_fvg_zone_r,Q4,164,127,0.774390243902439,0.0,0.0568181818181884,0.2802919708029128
REF,max_bull_fvg_zone_r,Q1,167,131,0.7844311377245509,0.0,0.0568181818181884,0.2802919708029128
REF,max_bull_fvg_zone_r,Q2,37,28,0.7567567567567568,0.0,0.0568181818181884,0.2802919708029128
REF,max_bull_fvg_zone_r,Q3,102,74,0.7254901960784313,0.0,0.0568181818181884,0.2802919708029128
REF,max_bull_fvg_zone_r,Q4,97,76,0.7835051546391752,0.0,0.0568181818181884,0.2802919708029128
DEV,protected_depth_to_broken_level_zone_r,Q1,165,117,0.7090909090909091,1.0992907801418326,1.549824150058618,2.081967213114715
DEV,protected_depth_to_broken_level_zone_r,Q2,164,118,0.7195121951219512,1.0992907801418326,1.549824150058618,2.081967213114715
DEV,protected_depth_to_broken_level_zone_r,Q3,164,132,0.8048780487804879,1.0992907801418326,1.549824150058618,2.081967213114715
DEV,protected_depth_to_broken_level_zone_r,Q4,164,133,0.8109756097560976,1.0992907801418326,1.549824150058618,2.081967213114715
REF,protected_depth_to_broken_level_zone_r,Q1,88,76,0.8636363636363636,1.0992907801418326,1.549824150058618,2.081967213114715
REF,protected_depth_to_broken_level_zone_r,Q2,106,75,0.7075471698113207,1.0992907801418326,1.549824150058618,2.081967213114715
REF,protected_depth_to_broken_level_zone_r,Q3,116,87,0.75,1.0992907801418326,1.549824150058618,2.081967213114715
REF,protected_depth_to_broken_level_zone_r,Q4,93,71,0.7634408602150538,1.0992907801418326,1.549824150058618,2.081967213114715
DEV,zone_age_at_retest_h,Q1,178,123,0.6910112359550562,1.25,5.25,22.5
DEV,zone_age_at_retest_h,Q2,153,107,0.6993464052287581,1.25,5.25,22.5
DEV,zone_age_at_retest_h,Q3,164,137,0.8353658536585366,1.25,5.25,22.5
DEV,zone_age_at_retest_h,Q4,162,133,0.8209876543209876,1.25,5.25,22.5
REF,zone_age_at_retest_h,Q1,99,74,0.7474747474747475,1.25,5.25,22.5
REF,zone_age_at_retest_h,Q2,94,72,0.7659574468085106,1.25,5.25,22.5
REF,zone_age_at_retest_h,Q3,90,70,0.7777777777777778,1.25,5.25,22.5
REF,zone_age_at_retest_h,Q4,120,93,0.775,1.25,5.25,22.5
DEV,approach_slope_per_zone_r,Q1,165,129,0.7818181818181819,-0.1167478354978414,-0.0410226385636214,0.0220306513409913
DEV,approach_slope_per_zone_r,Q2,164,132,0.8048780487804879,-0.1167478354978414,-0.0410226385636214,0.0220306513409913
DEV,approach_slope_per_zone_r,Q3,164,128,0.7804878048780488,-0.1167478354978414,-0.0410226385636214,0.0220306513409913
DEV,approach_slope_per_zone_r,Q4,164,111,0.676829268292683,-0.1167478354978414,-0.0410226385636214,0.0220306513409913
REF,approach_slope_per_zone_r,Q1,115,86,0.7478260869565218,-0.1167478354978414,-0.0410226385636214,0.0220306513409913
REF,approach_slope_per_zone_r,Q2,104,87,0.8365384615384616,-0.1167478354978414,-0.0410226385636214,0.0220306513409913
REF,approach_slope_per_zone_r,Q3,95,75,0.7894736842105263,-0.1167478354978414,-0.0410226385636214,0.0220306513409913
REF,approach_slope_per_zone_r,Q4,89,61,0.6853932584269663,-0.1167478354978414,-0.0410226385636214,0.0220306513409913
DEV,approach_efficiency,Q1,165,129,0.7818181818181819,0.2362637362637409,0.4321223709369039,0.6249999999999911
DEV,approach_efficiency,Q2,164,132,0.8048780487804879,0.2362637362637409,0.4321223709369039,0.6249999999999911
DEV,approach_efficiency,Q3,164,114,0.6951219512195121,0.2362637362637409,0.4321223709369039,0.6249999999999911
DEV,approach_efficiency,Q4,164,125,0.7621951219512195,0.2362637362637409,0.4321223709369039,0.6249999999999911
REF,approach_efficiency,Q1,96,72,0.75,0.2362637362637409,0.4321223709369039,0.6249999999999911
REF,approach_efficiency,Q2,102,81,0.7941176470588235,0.2362637362637409,0.4321223709369039,0.6249999999999911
REF,approach_efficiency,Q3,90,75,0.8333333333333334,0.2362637362637409,0.4321223709369039,0.6249999999999911
REF,approach_efficiency,Q4,115,81,0.7043478260869566,0.2362637362637409,0.4321223709369039,0.6249999999999911
DEV,approach_overlap_mean,Q1,165,126,0.7636363636363637,0.5570817882376674,0.6200922442681293,0.6819141478261113
DEV,approach_overlap_mean,Q2,164,125,0.7621951219512195,0.5570817882376674,0.6200922442681293,0.6819141478261113
DEV,approach_overlap_mean,Q3,164,122,0.7439024390243902,0.5570817882376674,0.6200922442681293,0.6819141478261113
DEV,approach_overlap_mean,Q4,164,127,0.774390243902439,0.5570817882376674,0.6200922442681293,0.6819141478261113
REF,approach_overlap_mean,Q1,130,99,0.7615384615384615,0.5570817882376674,0.6200922442681293,0.6819141478261113
REF,approach_overlap_mean,Q2,114,89,0.7807017543859649,0.5570817882376674,0.6200922442681293,0.6819141478261113
REF,approach_overlap_mean,Q3,87,67,0.7701149425287356,0.5570817882376674,0.6200922442681293,0.6819141478261113
REF,approach_overlap_mean,Q4,72,54,0.75,0.5570817882376674,0.6200922442681293,0.6819141478261113
DEV,approach_net_progress_zone_r,Q1,165,131,0.793939393939394,-0.8924999999999983,-0.3463541666666648,0.1306666666666691
DEV,approach_net_progress_zone_r,Q2,164,133,0.8109756097560976,-0.8924999999999983,-0.3463541666666648,0.1306666666666691
DEV,approach_net_progress_zone_r,Q3,164,124,0.7560975609756098,-0.8924999999999983,-0.3463541666666648,0.1306666666666691
DEV,approach_net_progress_zone_r,Q4,164,112,0.6829268292682927,-0.8924999999999983,-0.3463541666666648,0.1306666666666691
REF,approach_net_progress_zone_r,Q1,114,87,0.7631578947368421,-0.8924999999999983,-0.3463541666666648,0.1306666666666691
REF,approach_net_progress_zone_r,Q2,96,78,0.8125,-0.8924999999999983,-0.3463541666666648,0.1306666666666691
REF,approach_net_progress_zone_r,Q3,105,77,0.7333333333333333,-0.8924999999999983,-0.3463541666666648,0.1306666666666691
REF,approach_net_progress_zone_r,Q4,88,67,0.7613636363636364,-0.8924999999999983,-0.3463541666666648,0.1306666666666691
DEV,last1_bear_progress_zone_r,Q1,165,137,0.8303030303030303,-0.7307692307692476,-0.335766423357662,-0.1097560975609806
DEV,last1_bear_progress_zone_r,Q2,164,120,0.7317073170731707,-0.7307692307692476,-0.335766423357662,-0.1097560975609806
DEV,last1_bear_progress_zone_r,Q3,164,122,0.7439024390243902,-0.7307692307692476,-0.335766423357662,-0.1097560975609806
DEV,last1_bear_progress_zone_r,Q4,164,121,0.7378048780487805,-0.7307692307692476,-0.335766423357662,-0.1097560975609806
REF,last1_bear_progress_zone_r,Q1,89,66,0.7415730337078652,-0.7307692307692476,-0.335766423357662,-0.1097560975609806
REF,last1_bear_progress_zone_r,Q2,109,80,0.7339449541284404,-0.7307692307692476,-0.335766423357662,-0.1097560975609806
REF,last1_bear_progress_zone_r,Q3,105,80,0.7619047619047619,-0.7307692307692476,-0.335766423357662,-0.1097560975609806
REF,last1_bear_progress_zone_r,Q4,100,83,0.83,-0.7307692307692476,-0.335766423357662,-0.1097560975609806
DEV,last2_bear_progress_zone_r,Q1,165,135,0.8181818181818182,-1.0279069767441782,-0.5114638447971828,-0.2154963680387594
DEV,last2_bear_progress_zone_r,Q2,164,116,0.7073170731707317,-1.0279069767441782,-0.5114638447971828,-0.2154963680387594
DEV,last2_bear_progress_zone_r,Q3,164,127,0.774390243902439,-1.0279069767441782,-0.5114638447971828,-0.2154963680387594
DEV,last2_bear_progress_zone_r,Q4,164,122,0.7439024390243902,-1.0279069767441782,-0.5114638447971828,-0.2154963680387594
REF,last2_bear_progress_zone_r,Q1,103,79,0.7669902912621359,-1.0279069767441782,-0.5114638447971828,-0.2154963680387594
REF,last2_bear_progress_zone_r,Q2,98,70,0.7142857142857143,-1.0279069767441782,-0.5114638447971828,-0.2154963680387594
REF,last2_bear_progress_zone_r,Q3,104,80,0.7692307692307693,-1.0279069767441782,-0.5114638447971828,-0.2154963680387594
REF,last2_bear_progress_zone_r,Q4,98,80,0.8163265306122449,-1.0279069767441782,-0.5114638447971828,-0.2154963680387594
DEV,last3_bear_progress_zone_r,Q1,165,131,0.793939393939394,-1.1525423728813626,-0.5970149253730862,-0.2165605095541432
DEV,last3_bear_progress_zone_r,Q2,164,129,0.7865853658536586,-1.1525423728813626,-0.5970149253730862,-0.2165605095541432
DEV,last3_bear_progress_zone_r,Q3,164,121,0.7378048780487805,-1.1525423728813626,-0.5970149253730862,-0.2165605095541432
DEV,last3_bear_progress_zone_r,Q4,164,119,0.725609756097561,-1.1525423728813626,-0.5970149253730862,-0.2165605095541432
REF,last3_bear_progress_zone_r,Q1,118,89,0.7542372881355932,-1.1525423728813626,-0.5970149253730862,-0.2165605095541432
REF,last3_bear_progress_zone_r,Q2,88,64,0.7272727272727273,-1.1525423728813626,-0.5970149253730862,-0.2165605095541432
REF,last3_bear_progress_zone_r,Q3,118,91,0.7711864406779662,-1.1525423728813626,-0.5970149253730862,-0.2165605095541432
