horizon_min,feature,dev_block,n,neutral_reference,median,p25,p75,iqr,centered_median,effect,direction_ok,adequate,block_direction_ok
60,short_capture_fraction,2,8,0.5,0.5513679110857788,0.42486289230940777,0.7384241542935863,0.31356126198417855,0.05136791108577876,0.16382097316718494,True,True,True
60,short_capture_fraction,3,8,0.5,0.32095673635308475,0.20223546218011323,0.7147677454312583,0.5125322832511451,-0.17904326364691525,0.349330704616674,False,True,False
60,short_capture_fraction,4,7,0.5,0.9698431845597039,0.7496682442365917,0.9750809898680387,0.22541274563144698,0.46984318455970386,2.0843683139723788,True,True,True
60,short_capture_fraction,5,5,0.5,0.3373983739837438,0.10714285714285321,0.8347107438016517,0.7275678866587985,-0.16260162601625622,0.2234865350681842,False,True,False
120,short_close_return_R,0,3,0.0,-0.237037037037037,-0.8843915343915354,-0.11665978245903799,0.7677317519324974,-0.237037037037037,0.3087498158573991,False,False,False
120,short_close_return_R,1,6,0.0,0.009146947703323374,-0.30044612216884103,0.43100864045141907,0.7314547626202601,0.009146947703323374,0.012505144775538329,True,True,True
120,short_close_return_R,2,8,0.0,0.1633986928104561,-0.01656808103002916,0.663761348897539,0.6803294299275682,0.1633986928104561,0.24017584073623344,True,True,True
120,short_close_return_R,3,8,0.0,-0.14402065001548645,-0.3064427556082968,0.09164915966386666,0.3980919152721635,-0.14402065001548645,0.36177737977176416,False,True,False
120,short_close_return_R,4,7,0.0,-0.15494549321988746,-0.19536511914837948,0.3546916861017943,0.5500568052501738,-0.15494549321988746,0.2816899849996693,False,True,False
120,short_close_return_R,5,5,0.0,-0.06547619047619833,-0.10399999999999636,0.2609572712268478,0.3649572712268442,-0.06547619047619833,0.17940782562323773,False,True,False
120,short_excursion_dominance_R,0,3,0.0,-0.45555555555555133,-0.9936507936507954,-0.41365138372572857,0.5799994099250669,-0.45555555555555133,0.7854414121117931,False,False,False
120,short_excursion_dominance_R,1,6,0.0,-0.15596422470103347,-0.6294477028347969,0.35090812907776747,0.9803558319125644,-0.15596422470103347,0.15908940368801064,False,True,False
120,short_excursion_dominance_R,2,8,0.0,0.27459069436355177,-0.109628237044077,0.8480285343709548,0.9576567714150318,0.27459069436355177,0.2867318464817171,True,True,True
120,short_excursion_dominance_R,3,8,0.0,-0.18836535133263665,-0.5313484471671908,0.34775541795664977,0.8791038651238405,-0.18836535133263665,0.214269733993379,False,True,False
120,short_excursion_dominance_R,4,7,0.0,0.32060390763764524,0.10570324810086758,0.5884477140883752,0.4827444659875076,0.32060390763764524,0.6641275669143388,True,True,True
120,short_excursion_dominance_R,5,5,0.0,-0.2359999999999938,-0.5601904330083823,0.3835920177383577,0.94378245074674,-0.2359999999999938,0.25005762695975725,False,True,False
120,short_capture_fraction,0,3,0.5,0.17532467532468124,0.14231820810768397,0.17666757326443588,0.03434936515675191,-0.3246753246753188,9.452149208396614,False,False,False
120,short_capture_fraction,1,6,0.5,0.34969446087127987,0.046024872307351236,0.6781367041198516,0.6321118318125004,-0.15030553912872013,0.23778314463397732,False,True,False
120,short_capture_fraction,2,8,0.5,0.6452781112444969,0.43855648402117714,0.843452960455425,0.4048964764342478,0.14527811124449685,0.3588031007923304,True,True,True
120,short_capture_fraction,3,8,0.5,0.3142315677448684,0.1825978917474898,0.6576430760106726,0.4750451842631828,-0.18576843225513162,0.39105423738431766,False,True,False
120,short_capture_fraction,4,7,0.5,0.6447473937449824,0.5807877237995993,0.9733960590904149,0.3926083352908156,0.14474739374498236,0.3686814077387431,True,True,True
120,short_capture_fraction,5,5,0.5,0.24198250728863488,0.10404624277456197,0.8418972332015788,0.7378509904270169,-0.2580174927113651,0.3496878042571204,False,True,False
