year,scope,candidate,n,baseline_wins,baseline_losses,clean_signals,signal_rate,loss_captured,loss_capture_rate,winner_false_exit,winner_false_exit_rate,signal_precision_loss,median_signal_r_all,median_signal_r_loss,median_signal_r_win,median_minutes_signal_to_sl,median_minutes_signal_to_tp1,cf_wins,cf_losses,cf_be,cf_wr_ex_be,cf_expectancy_r,cf_total_r,cf_pf,cf_max_dd_r
2022,Q4_WIDE,CLOSE5_BELOW_DEMAND_HIGH,45,34,11,9,0.2,8,0.7272727272727273,1,0.029411764705882353,0.8888888888888888,-0.49887133182844345,-0.5411570850995047,-0.17840000000000145,115.0,1925.0,33,12,0,0.7333333333333333,0.03974864933182826,1.788689219932272,1.2271075632998414,3.472021138573204
2022,Q4_WIDE,CLOSE15_BELOW_DEMAND_HIGH,45,34,11,9,0.2,8,0.7272727272727273,1,0.029411764705882353,0.8888888888888888,-0.46335078534031765,-0.5233968118554417,-0.17840000000000145,107.5,1925.0,33,12,0,0.7333333333333333,0.044026875076656556,1.981209378449545,1.2578546068758631,3.4268744117108976
2023,ALL,TOUCH_BREAK_LEVEL,144,101,43,97,0.6736111111111112,43,1.0,54,0.5346534653465347,0.44329896907216493,-0.09859154929578073,-0.09349593495935668,-0.10057782592994205,100.0,112.5,47,97,0,0.3263888888888889,-0.02089862111615966,-3.0094014407269913,0.7403801376267811,4.800489724210834
2023,ALL,CLOSE5_BELOW_BREAK_LEVEL,144,101,43,85,0.5902777777777778,42,0.9767441860465116,43,0.42574257425742573,0.49411764705882355,-0.17622950819672428,-0.19497799119647743,-0.14503816793892932,95.0,120.0,58,86,0,0.4027777777777778,-0.006394720248814611,-0.920839715829304,0.9470755910522219,3.944407096431564
2023,ALL,CLOSE5_BELOW_HOLD_CLOSE,144,101,43,57,0.3958333333333333,36,0.8372093023255814,21,0.2079207920792079,0.631578947368421,-0.35897435897435215,-0.3607188703465888,-0.33670033670033683,87.5,180.0,80,64,0,0.5555555555555556,-0.04426894946610383,-6.374728723118952,0.7817425216701618,8.579604475931852
2023,ALL,CLOSE5_BELOW_RECLAIM_CLOSE,144,101,43,48,0.3333333333333333,33,0.7674418604651163,15,0.1485148514851485,0.6875,-0.4718054381516008,-0.4733727810650961,-0.41041666666665955,60.0,220.0,86,58,0,0.5972222222222222,-0.049850198372901194,-7.1784285656977715,0.7838816425913468,8.000607841682232
2023,ALL,CLOSE5_BELOW_DEMAND_HIGH,144,101,43,29,0.2013888888888889,22,0.5116279069767442,7,0.06930693069306931,0.7586206896551724,-0.7041420118343191,-0.752777777777806,-0.5185185185185256,25.0,125.0,94,50,0,0.6527777777777778,-0.06969432574657336,-10.035982907506565,0.7542724586199756,10.035982907506563
2023,ALL,CLOSE15_BELOW_DEMAND_HIGH,144,101,43,19,0.13194444444444445,16,0.37209302325581395,3,0.0297029702970297,0.8421052631578947,-0.6938775510204224,-0.752777777777806,-0.5603448275862134,25.0,575.0,98,46,0,0.6805555555555556,-0.040389248832694125,-5.816051831907954,0.8548015655382788,7.549147114572653
2023,Q4_WIDE,TOUCH_BREAK_LEVEL,31,28,3,14,0.45161290322580644,3,1.0,11,0.39285714285714285,0.21428571428571427,-0.029374232250829753,-0.035561877667140966,-0.027334851936213326,475.0,110.0,17,14,0,0.5483870967741935,-0.011252602548928759,-0.34883067901679154,0.6610846518156401,0.592304947711384
2023,Q4_WIDE,CLOSE5_BELOW_BREAK_LEVEL,31,28,3,13,0.41935483870967744,3,1.0,10,0.35714285714285715,0.23076923076923078,-0.08040201005024956,-0.09103840682787892,-0.07448579041598702,475.0,115.0,18,13,0,0.5806451612903226,-0.024094215703843565,-0.7469206868191506,0.47965454651706096,0.9079839041919205
2023,Q4_WIDE,CLOSE5_BELOW_HOLD_CLOSE,31,28,3,3,0.0967741935483871,2,0.6666666666666666,1,0.03571428571428571,0.6666666666666666,-0.1623616236162357,-0.3701616189053395,-0.1623616236162357,520.0,245.0,27,4,0,0.8709677419354839,-0.015164511099915819,-0.47009984409739036,0.7529281629198227,1.0
2023,Q4_WIDE,CLOSE5_BELOW_RECLAIM_CLOSE,31,28,3,3,0.0967741935483871,2,0.6666666666666666,1,0.03571428571428571,0.6666666666666666,-0.263874345549736,-0.35801756530399864,-0.263874345549736,605.0,965.0,27,4,0,0.8709677419354839,-0.007963874478547305,-0.24688010883496647,0.8753073755098799,1.0982175029653682
2023,Q4_WIDE,CLOSE5_BELOW_DEMAND_HIGH,31,28,3,1,0.03225806451612903,1,0.3333333333333333,0,0.0,1.0,-0.9758179231863419,-0.9758179231863419,,5.0,,28,3,0,0.9032258064516129,-0.03650947714405385,-1.1317937914656693,0.6196696771508766,1.983131185596071
2023,Q4_WIDE,CLOSE15_BELOW_DEMAND_HIGH,31,28,3,0,0.0,0,0.0,0,0.0,,,,,,,28,3,0,0.9032258064516129,-0.03728954413804282,-1.1559758682793275,0.6146747105735575,2.007313262409729
2024,ALL,TOUCH_BREAK_LEVEL,145,108,37,88,0.6068965517241379,36,0.972972972972973,52,0.48148148148148145,0.4090909090909091,-0.1096373607056885,-0.11725394077854963,-0.10674447405617513,105.0,97.5,56,89,0,0.38620689655172413,0.011928098721832092,1.7295743146656533,1.14929743465921,2.0226726959647885
2024,ALL,CLOSE5_BELOW_BREAK_LEVEL,145,108,37,74,0.5103448275862069,36,0.972972972972973,38,0.35185185185185186,0.4864864864864865,-0.1893813244524199,-0.2274745491223733,-0.1792064035939313,100.0,122.5,70,75,0,0.4827586206896552,0.016989038011707782,2.4634105116976284,1.1483508421517907,3.249270633687772
2024,ALL,CLOSE5_BELOW_HOLD_CLOSE,145,108,37,55,0.3793103448275862,36,0.972972972972973,19,0.17592592592592593,0.6545454545454545,-0.37444933920706147,-0.41943780915740103,-0.33796940194715513,62.5,170.0,89,56,0,0.6137931034482759,0.04099987814170663,5.944982330547461,1.2474304546229136,3.4306464143759907
2024,ALL,CLOSE5_BELOW_RECLAIM_CLOSE,145,108,37,51,0.35172413793103446,34,0.918918918918919,17,0.1574074074074074,0.6666666666666666,-0.4133333333333364,-0.4587878651280458,-0.35674157303370824,42.5,160.0,91,54,0,0.6275862068965518,0.013015276131471389,1.8872150390633513,1.0679737838196168,4.285700310188919
2024,ALL,CLOSE5_BELOW_DEMAND_HIGH,145,108,37,31,0.21379310344827587,25,0.6756756756756757,6,0.05555555555555555,0.8064516129032258,-0.6839422259982995,-0.7253012048192826,-0.5670444288436474,40.0,362.5,102,43,0,0.7034482758620689,0.037423796506162135,5.42645049339351,1.1748567984773797,5.1849146274559805
2024,ALL,CLOSE15_BELOW_DEMAND_HIGH,145,108,37,22,0.15172413793103448,17,0.4594594594594595,5,0.046296296296296294,0.7727272727272727,-0.5932241733823325,-0.5947323704333031,-0.5917159763313617,40.0,475.0,103,42,0,0.7103448275862069,0.025343951179946922,3.6748729210923035,1.1116077366668853,5.882567528386751
2024,Q4_WIDE,TOUCH_BREAK_LEVEL,34,25,9,21,0.6176470588235294,9,1.0,12,0.48,0.42857142857142855,-0.04231625835189672,-0.03993203058623838,-0.04260783331796174,160.0,70.0,13,21,0,0.38235294117647056,-0.006194831797176874,-0.2106242811040137,0.8855837608630773,0.6987807165482192
2024,Q4_WIDE,CLOSE5_BELOW_BREAK_LEVEL,34,25,9,17,0.5,9,1.0,8,0.32,0.5294117647058824,-0.16202346041055168,-0.16202346041055168,-0.15174052184798703,130.0,147.5,17,17,0,0.5,-0.021801893888680833,-0.7412643922151483,0.7429550629859963,1.0223064891389781
2024,Q4_WIDE,CLOSE5_BELOW_HOLD_CLOSE,34,25,9,15,0.4411764705882353,9,1.0,6,0.24,0.6,-0.3716666666666697,-0.37390542907180985,-0.3388375229593868,90.0,130.0,19,15,0,0.5588235294117647,-0.0973999722987373,-3.3115990581570682,0.4471871565828311,3.5135551452579628
2024,Q4_WIDE,CLOSE5_BELOW_RECLAIM_CLOSE,34,25,9,13,0.38235294117647056,9,1.0,4,0.16,0.6923076923076923,-0.37390542907180985,-0.4239592183517411,-0.34110641349892196,40.0,365.0,21,13,0,0.6176470588235294,-0.09290720351400183,-3.1588449194760626,0.4894537059112017,3.3608010065769567
2024,Q4_WIDE,CLOSE5_BELOW_DEMAND_HIGH,34,25,9,11,0.3235294117647059,8,0.8888888888888888,3,0.12,0.7272727272727273,-0.5423728813559329,-0.5861377796658169,-0.5423728813559329,55.0,165.0,22,12,0,0.6470588235294118,-0.10968769933025829,-3.729381777228782,0.46861161405984586,4.248583219122511
2024,Q4_WIDE,CLOSE15_BELOW_DEMAND_HIGH,34,25,9,8,0.23529411764705882,6,0.6666666666666666,2,0.08,0.75,-0.5249328992494658,-0.5000317693059644,-0.5649257847758495,57.5,300.0,23,11,0,0.6764705882352942,-0.1206394519238382,-4.101741365410499,0.45542247179820244,4.620942807304227
2025,ALL,TOUCH_BREAK_LEVEL,186,137,49,129,0.6935483870967742,48,0.9795918367346939,81,0.5912408759124088,0.37209302325581395,-0.09113300492610817,-0.12139104778354072,-0.07073170731709164,95.0,60.0,56,130,0,0.3010752688172043,-0.0361363465607631,-6.721360460301938,0.5831049854515392,6.7213604603019315
2025,ALL,CLOSE5_BELOW_BREAK_LEVEL,186,137,49,106,0.5698924731182796,48,0.9795918367346939,58,0.4233576642335766,0.4528301886792453,-0.1807262252321292,-0.23324173194973463,-0.14666553825321543,82.5,110.0,79,107,0,0.42473118279569894,-0.011897121365004107,-2.212864573890764,0.9094630780745601,4.506722805191991
2025,ALL,CLOSE5_BELOW_HOLD_CLOSE,186,137,49,80,0.43010752688172044,47,0.9591836734693877,33,0.24087591240875914,0.5875,-0.3569962467745715,-0.44175209692451084,-0.25411764705883316,60.0,155.0,104,82,0,0.5591397849462365,-0.010562659814483392,-1.964654725493911,0.9404233881800129,7.9549716669124315
2025,ALL,CLOSE5_BELOW_RECLAIM_CLOSE,186,137,49,62,0.3333333333333333,47,0.9591836734693877,15,0.10948905109489052,0.7580645161290323,-0.49762788358277543,-0.5081967213114835,-0.4355123674911641,50.0,240.0,122,64,0,0.6559139784946236,-0.0018736504474950735,-0.3484989832340837,0.989403617276911,6.4850340604101415
2025,ALL,CLOSE5_BELOW_DEMAND_HIGH,186,137,49,38,0.20430107526881722,30,0.6122448979591837,8,0.058394160583941604,0.7894736842105263,-0.5620190642387611,-0.5911546793428499,-0.46906915013272,32.5,205.0,129,57,0,0.6935483870967742,-0.007975244063783457,-1.483395395863723,0.9641679446902933,7.678297770193732
2025,ALL,CLOSE15_BELOW_DEMAND_HIGH,186,137,49,30,0.16129032258064516,23,0.46938775510204084,7,0.051094890510948905,0.7666666666666667,-0.5850958312934067,-0.5809443507588514,-0.5892473118279619,50.0,195.0,130,56,0,0.6989247311827957,-0.01910744545912913,-3.5539848553980184,0.9186133410333145,9.135468890949975
2025,Q4_WIDE,TOUCH_BREAK_LEVEL,39,35,4,26,0.6666666666666666,4,1.0,22,0.6285714285714286,0.15384615384615385,-0.03141931967554729,-0.09997889602653394,-0.03141931967554729,112.5,177.5,13,26,0,0.3333333333333333,-0.021662761701644172,-0.8448477063641228,0.5484662882342499,1.0339658788450743
2025,Q4_WIDE,CLOSE5_BELOW_BREAK_LEVEL,39,35,4,23,0.5897435897435898,4,1.0,19,0.5428571428571428,0.17391304347826086,-0.06421724215318514,-0.19897509337419278,-0.06421724215318514,107.5,185.0,16,23,0,0.41025641025641024,-0.02094655976354416,-0.8169158307782222,0.6714032873512279,1.3336975877533148
2025,Q4_WIDE,CLOSE5_BELOW_HOLD_CLOSE,39,35,4,17,0.4358974358974359,4,1.0,13,0.37142857142857144,0.23529411764705882,-0.15732102208970516,-0.3127064714168393,-0.15732102208970516,85.0,155.0,22,17,0,0.5641025641025641,-0.020471285635150046,-0.7983801397708518,0.76150879642372,1.869473934571598
2025,Q4_WIDE,CLOSE5_BELOW_RECLAIM_CLOSE,39,35,4,5,0.1282051282051282,4,1.0,1,0.02857142857142857,0.8,-0.3818860877684424,-0.47473440675578726,-0.1611909650924016,65.0,85.0,34,5,0,0.8717948717948718,0.0193099161734065,0.7530867307628535,1.3510333377428247,1.3163768881494162
2025,Q4_WIDE,CLOSE5_BELOW_DEMAND_HIGH,39,35,4,4,0.10256410256410256,3,0.75,1,0.02857142857142857,0.75,-0.5699247341625372,-0.6769489624228819,-0.36909650924024884,85.0,40.0,34,5,0,0.8717948717948718,-0.00906688789970568,-0.35360862808852156,0.8912655246357447,2.2151667028529443
2025,Q4_WIDE,CLOSE15_BELOW_DEMAND_HIGH,39,35,4,4,0.10256410256410256,3,0.75,1,0.02857142857142857,0.75,-0.6289466565908667,-0.6769489624228819,-0.4117043121149884,85.0,35.0,34,5,0,0.8717948717948718,-0.014143630135824155,-0.551601575297142,0.8401169120588691,2.3705518471868254
2026,ALL,TOUCH_BREAK_LEVEL,86,64,22,51,0.5930232558139535,22,1.0,29,0.453125,0.43137254901960786,-0.08169677926159276,-0.1113014915674129,-0.05607476635512496,137.5,90.0,35,51,0,0.4069767441860465,0.017370947732530527,1.4939015049976252,1.265083924465039,1.197391339043574
2026,ALL,CLOSE5_BELOW_BREAK_LEVEL,86,64,22,46,0.5348837209302325,22,1.0,24,0.375,0.4782608695652174,-0.14494466749547052,-0.17989711119904414,-0.10722579307485494,132.5,92.5,40,46,0,0.46511627906976744,0.06156503387411157,5.294592913173595,1.6238719473392607,1.8004438370164297
2026,ALL,CLOSE5_BELOW_HOLD_CLOSE,86,64,22,35,0.4069767441860465,22,1.0,13,0.203125,0.6285714285714286,-0.34273624823695564,-0.3307636803954337,-0.377358490566041,85.0,170.0,51,35,0,0.5930232558139535,0.04085680040874592,3.513684835152149,1.25286662954111,3.8426146415912212
2026,ALL,CLOSE5_BELOW_RECLAIM_CLOSE,86,64,22,31,0.36046511627906974,20,0.9090909090909091,11,0.171875,0.6451612903225806,-0.4910394265232855,-0.5547879337647555,-0.44716981132074984,45.0,170.0,53,33,0,0.6162790697674418,0.007977763452292107,0.6860876568971211,1.0386721763515383,6.11368251318029
2026,ALL,CLOSE5_BELOW_DEMAND_HIGH,86,64,22,24,0.27906976744186046,18,0.8181818181818182,6,0.09375,0.75,-0.6109365672478619,-0.7347161201675896,-0.46697519769949547,17.5,242.5,58,28,0,0.6744186046511628,0.00929475056247437,0.7993485483727958,1.0407963850911561,5.714989973495802
2026,ALL,CLOSE15_BELOW_DEMAND_HIGH,86,64,22,20,0.23255813953488372,14,0.6363636363636364,6,0.09375,0.7,-0.5866572639134996,-0.6936714417927606,-0.46697519769949547,50.0,200.0,58,28,0,0.6744186046511628,-0.0007874051350807096,-0.06771684161694103,0.9966903910517809,6.440246369883787
2026,Q4_WIDE,TOUCH_BREAK_LEVEL,11,9,2,7,0.6363636363636364,2,1.0,5,0.5555555555555556,0.2857142857142857,-0.08169677926159276,-0.11845550361624335,-0.058392101551479274,595.0,30.0,4,7,0,0.36363636363636365,-0.05903705620474809,-0.649407618252229,0.19298535803293798,0.649407618252229
2026,Q4_WIDE,CLOSE5_BELOW_BREAK_LEVEL,11,9,2,6,0.5454545454545454,2,1.0,4,0.4444444444444444,0.3333333333333333,-0.08834498732700183,-0.12436995975744464,-0.0742664305156286,540.0,35.0,5,6,0,0.45454545454545453,0.005430710375121773,0.05973781412633951,1.0909147130757615,0.5100932644106593
2026,Q4_WIDE,CLOSE5_BELOW_HOLD_CLOSE,11,9,2,3,0.2727272727272727,2,1.0,1,0.1111111111111111,0.6666666666666666,-0.3144704931285356,-0.30963116172530436,-0.34273624823695564,460.0,170.0,8,3,0,0.7272727272727273,-0.0075156094420630835,-0.08267170386269392,0.9140625503033036,0.8997976147497675
2026,Q4_WIDE,CLOSE5_BELOW_RECLAIM_CLOSE,11,9,2,3,0.2727272727272727,2,1.0,1,0.1111111111111111,0.6666666666666666,-0.3702506063055812,-0.4710640305683429,-0.34273624823695564,442.5,170.0,8,3,0,0.7272727272727273,-0.03686704014079737,-0.4055374415487711,0.6843733314170222,1.2226633524358446
2026,Q4_WIDE,CLOSE5_BELOW_DEMAND_HIGH,11,9,2,1,0.09090909090909091,1,0.5,0,0.0,1.0,-0.5917542441390499,-0.5917542441390499,,130.0,,9,2,0,0.8181818181818182,-0.027261316810713032,-0.29987448491784335,0.8116075480734528,1.5917542441390498
2026,Q4_WIDE,CLOSE15_BELOW_DEMAND_HIGH,11,9,2,1,0.09090909090909091,1,0.5,0,0.0,1.0,-0.5917542441390499,-0.5917542441390499,,130.0,,9,2,0,0.8181818181818182,-0.027261316810713032,-0.29987448491784335,0.8116075480734528,1.5917542441390498
