period,side,character,direction,tf,candidate,signals,filled_n,fill_rate,median_fill_wait,n180,median180,hit180,median_mfe,median_mae,favdom,missed_baseline_wins,baseline_wins,missed_win_fraction
REF,UPPER,C1_CLEAN_REJECTION,SHORT,TF05,E3_WALL,58,45,0.7758620689655172,5.0,40,0.010196226944137743,0.525,0.2777179448060745,0.2837550667203025,0.525,13,29,0.4482758620689655
REF,LOWER,C2_RECLAIM_AFTER_CLOSE,LONG,TF60,E0_MARKET,44,44,1.0,0.0,42,0.028980597245939772,0.5714285714285714,0.31011036664595104,0.26239256497051117,0.5714285714285714,0,0,0.0
REF,LOWER,C2_RECLAIM_AFTER_CLOSE,LONG,TF60,E1_R25,44,36,0.8181818181818182,10.0,35,0.07238442677168933,0.6,0.25903778835113234,0.23561059940914889,0.5714285714285714,3,24,0.125
REF,LOWER,C2_RECLAIM_AFTER_CLOSE,LONG,TF60,E2_R50,44,30,0.6818181818181818,15.0,29,0.10160000533891114,0.5517241379310345,0.22195381344490578,0.20568033517247325,0.5517241379310345,8,24,0.3333333333333333
REF,LOWER,C2_RECLAIM_AFTER_CLOSE,LONG,TF60,E3_WALL,44,20,0.45454545454545453,20.0,19,0.018065804960523357,0.5789473684210527,0.253687101919745,0.16310822773313827,0.5789473684210527,15,24,0.625
ALL,UPPER,C1_CLEAN_REJECTION,SHORT,TF05,E0_MARKET,178,178,1.0,0.0,162,0.0846771805573866,0.5925925925925926,0.2725778570829006,0.22570890202101684,0.5740740740740741,0,0,0.0
ALL,UPPER,C1_CLEAN_REJECTION,SHORT,TF05,E1_R25,178,163,0.9157303370786517,5.0,148,0.09068941931294813,0.581081081081081,0.2826707631197403,0.21779904463693067,0.5608108108108109,12,96,0.125
ALL,UPPER,C1_CLEAN_REJECTION,SHORT,TF05,E2_R50,178,156,0.8764044943820225,5.0,141,0.09488064553084416,0.5815602836879432,0.293151829152882,0.2318606664026863,0.5673758865248227,17,96,0.17708333333333334
ALL,UPPER,C1_CLEAN_REJECTION,SHORT,TF05,E3_WALL,178,132,0.7415730337078652,5.0,121,0.06175002891303843,0.5867768595041323,0.286423048787295,0.2792878801080983,0.5206611570247934,34,96,0.3541666666666667
ALL,LOWER,C2_RECLAIM_AFTER_CLOSE,LONG,TF60,E0_MARKET,127,127,1.0,0.0,118,0.09511661335031162,0.6186440677966102,0.2650837627000866,0.22516988395399407,0.5254237288135594,0,0,0.0
ALL,LOWER,C2_RECLAIM_AFTER_CLOSE,LONG,TF60,E1_R25,127,98,0.7716535433070866,5.0,92,0.07802533121855644,0.6195652173913043,0.25272889720915337,0.2202256559217351,0.5543478260869565,19,73,0.2602739726027397
ALL,LOWER,C2_RECLAIM_AFTER_CLOSE,LONG,TF60,E2_R50,127,77,0.6062992125984252,10.0,74,0.10296328936220368,0.5945945945945946,0.24267435045736163,0.19721642985417964,0.5135135135135135,33,73,0.4520547945205479
ALL,LOWER,C2_RECLAIM_AFTER_CLOSE,LONG,TF60,E3_WALL,127,46,0.36220472440944884,7.5,43,0.05869982529652545,0.627906976744186,0.25453062763294765,0.25238715527790884,0.5581395348837209,53,73,0.726027397260274
