year,candidate,signals,available,filled,fill_rate,resolved,wins,losses,wr_resolved,median_win_r,mean_win_r,expectancy_per_filled,expectancy_per_signal,total_r,profit_factor,max_drawdown_r,max_loss_streak,median_entry_improvement_event_r,median_risk_compression,median_target_rr,median_fill_delay_min,ge1_available,ge1_filled,ge1_resolve_win,ge1_missed_nofill,ge1_became_loss,survive_available,survive_filled,survive_missed_nofill,consumed_available,consumed_avoided_nofill,consumed_avoid_rate,local_only_available,local_only_avoided_nofill,local_only_avoid_rate,ambiguous_fill_bar,ambiguous_after_entry,unresolved_after_entry
2024,MARKET_SD1_CLOSE,100,100,100,1.0,92,53,39,0.5760869565217391,0.7609907120743092,0.7316682803754604,-0.002215811401005946,-0.002215811401005946,-0.2215811401005946,0.994318432305113,14.196241091825593,4,0.0,0.0,0.7751624035095368,0.0,57,57,53,0,4,84,84,0,16,0,0.0,27,0,0.0,0,0,8
2024,LIMIT_HALF_RETRACE,100,98,93,0.9489795918367347,85,46,39,0.5411764705882353,0.873425234433594,0.8503614149190113,0.0012540331857475585,0.0011662508627452183,0.11662508627452184,1.0029903868275518,13.617797696747427,4,0.06572132239796061,0.05808575234673058,0.8766638731755141,5.0,55,50,46,5,4,82,77,5,16,0,0.0,27,0,0.0,0,0,8
2024,LIMIT_TOUCH_ANCHOR,100,98,87,0.8877551020408163,79,40,39,0.5063291139240507,1.0,1.0,0.011494252873563218,0.01,1.0,1.0256410256410255,13.0,4,0.13144264479591,0.11617150469345122,1.0,15.0,55,44,40,11,4,82,71,11,16,0,0.0,27,0,0.0,0,0,8
2024,LIMIT_ZONE_HIGH,100,86,71,0.8255813953488372,63,29,34,0.4603174603174603,0.9829968119022231,1.1048260093176951,-0.02760627788432164,-0.019600457297868346,-1.9600457297868346,0.94235159618274,15.050683826688669,5,0.22258981233244568,0.1971614379814723,1.1225136779669547,30.0,46,31,29,15,2,73,58,15,13,0,0.0,27,0,0.0,0,0,8
2024,LIMIT_REACTION_LOW,100,100,78,0.78,70,31,39,0.44285714285714284,1.102019128586614,1.3033782084846197,0.018009287987477127,0.014047244630232143,1.4047244630232143,1.0360185759749543,12.168676513404689,4,0.2508851066468264,0.22479453630863377,1.1857825567502958,32.5,57,35,31,22,4,84,62,22,16,0,0.0,27,0,0.0,0,0,8
2025,MARKET_SD1_CLOSE,106,106,106,1.0,96,60,36,0.625,0.785334221020095,0.7675948843055936,0.09486502885222287,0.09486502885222287,10.055693058335624,1.2793248071759895,5.811049532642309,4,0.0,0.0,0.8024966632645041,0.0,70,70,60,0,10,95,95,0,11,0,0.0,25,0,0.0,0,0,10
2025,LIMIT_HALF_RETRACE,106,105,93,0.8857142857142857,83,47,36,0.5662650602409639,0.8875149581172659,0.8837320545896767,0.05952050070661094,0.05222081665768696,5.535406565714817,1.153761293492078,6.989259074256605,4,0.05532786885245533,0.049815498154978544,0.8951456310679677,5.0,69,57,47,12,10,94,82,12,11,0,0.0,25,0,0.0,0,0,10
2025,LIMIT_TOUCH_ANCHOR,106,105,90,0.8571428571428571,80,44,36,0.55,1.0,1.0000000000000002,0.08888888888888896,0.07547169811320761,8.000000000000007,1.2222222222222223,7.0,4,0.11065573770491066,0.09963099630995709,1.0,10.0,69,54,44,15,10,94,79,15,11,0,0.0,25,0,0.0,0,0,10
2025,LIMIT_ZONE_HIGH,106,96,74,0.7708333333333334,66,34,32,0.5151515151515151,1.0153231179214033,1.0549995821908347,0.05229710533092399,0.036509299948003546,3.8699857944883758,1.1209370560777618,7.492349915457692,3,0.18174206928335845,0.16015669580698216,1.0942895278694755,35.0,62,41,34,21,7,86,64,22,10,0,0.0,24,1,0.041666666666666664,0,0,8
2025,LIMIT_REACTION_LOW,106,106,76,0.7169811320754716,66,30,36,0.45454545454545453,1.1356864500009385,1.1618800287175703,-0.015047357085169577,-0.010788671117668762,-1.1435991384728887,0.968233357264642,9.607006305008168,4,0.21759700194625176,0.19367332185155195,1.1645699268528933,42.5,70,40,30,30,10,95,65,30,11,0,0.0,25,0,0.0,0,0,10
2026,MARKET_SD1_CLOSE,54,54,54,1.0,50,27,23,0.54,0.7793764988009941,0.7510204723646924,-0.05041568974357973,-0.05041568974357973,-2.7224472461533056,0.8816327284281172,7.349134688308306,3,0.0,0.0,0.7630442354580349,0.0,29,29,27,0,2,42,42,0,12,0,0.0,13,0,0.0,0,0,4
2026,LIMIT_HALF_RETRACE,54,53,45,0.8490566037735849,41,19,22,0.4634146341463415,0.9018286814244493,0.8782787836465966,-0.11806006912699261,-0.0983833909391605,-5.312703110714667,0.7585134949675152,7.785873352593983,3,0.06739130434781389,0.059386973180065916,0.8737270875763528,5.0,28,20,19,8,1,41,33,8,12,0,0.0,13,0,0.0,0,0,4
2026,LIMIT_TOUCH_ANCHOR,54,53,42,0.7924528301886793,38,16,22,0.42105263157894735,1.0,1.0,-0.14285714285714285,-0.1111111111111111,-6.0,0.7272727272727273,8.0,3,0.1347826086956525,0.11877394636015348,1.0,7.5,28,17,16,11,1,41,30,11,12,0,0.0,13,0,0.0,0,0,4
2026,LIMIT_ZONE_HIGH,54,45,35,0.7777777777777778,31,14,17,0.45161290322580644,1.2562986553432371,1.4310855540601755,0.08671993590978447,0.056207365867452896,3.0351977568424564,1.1785410445201445,7.151198345534581,3,0.27627627627626533,0.22549019607842224,1.3609467455621387,35.0,24,14,14,10,0,36,26,10,9,0,0.0,12,0,0.0,0,0,4
2026,LIMIT_REACTION_LOW,54,54,41,0.7592592592592593,37,15,22,0.40540540540540543,1.1942336874051576,1.2553718369942728,-0.07730298646550994,-0.058693008242331625,-3.1694224450859076,0.8559353434051861,7.446177348301771,3,0.2329002309081925,0.19767332285609002,1.175741995793394,10.0,29,16,15,12,1,42,29,12,12,0,0.0,13,0,0.0,1,0,4
