decision,feature,feature_type,year,state,n,survive,survival_rate
PLUS15_CLOSE,p15_body_r,NUMERIC,2025,Q4,46,43,0.9347826086956522
PLUS15_CLOSE,p15_body_r,NUMERIC,2026,Q1,33,17,0.5151515151515151
PLUS15_CLOSE,p15_body_r,NUMERIC,2026,Q2,21,17,0.8095238095238095
PLUS15_CLOSE,p15_body_r,NUMERIC,2026,Q3,26,21,0.8076923076923077
PLUS15_CLOSE,p15_body_r,NUMERIC,2026,Q4,27,20,0.7407407407407407
PLUS15_CLOSE,p15_close_r,NUMERIC,2022,Q1,52,31,0.5961538461538461
PLUS15_CLOSE,p15_close_r,NUMERIC,2022,Q2,42,27,0.6428571428571429
PLUS15_CLOSE,p15_close_r,NUMERIC,2022,Q3,47,36,0.7659574468085106
PLUS15_CLOSE,p15_close_r,NUMERIC,2022,Q4,32,26,0.8125
PLUS15_CLOSE,p15_close_r,NUMERIC,2023,Q1,35,24,0.6857142857142857
PLUS15_CLOSE,p15_close_r,NUMERIC,2023,Q2,39,27,0.6923076923076923
PLUS15_CLOSE,p15_close_r,NUMERIC,2023,Q3,39,32,0.8205128205128205
PLUS15_CLOSE,p15_close_r,NUMERIC,2023,Q4,52,46,0.8846153846153846
PLUS15_CLOSE,p15_close_r,NUMERIC,2024,Q1,46,26,0.5652173913043478
PLUS15_CLOSE,p15_close_r,NUMERIC,2024,Q2,52,36,0.6923076923076923
PLUS15_CLOSE,p15_close_r,NUMERIC,2024,Q3,47,36,0.7659574468085106
PLUS15_CLOSE,p15_close_r,NUMERIC,2024,Q4,49,44,0.8979591836734694
PLUS15_CLOSE,p15_close_r,NUMERIC,2025,Q1,51,27,0.5294117647058824
PLUS15_CLOSE,p15_close_r,NUMERIC,2025,Q2,46,34,0.7391304347826086
PLUS15_CLOSE,p15_close_r,NUMERIC,2025,Q3,55,47,0.8545454545454545
PLUS15_CLOSE,p15_close_r,NUMERIC,2025,Q4,48,45,0.9375
PLUS15_CLOSE,p15_close_r,NUMERIC,2026,Q1,33,17,0.5151515151515151
PLUS15_CLOSE,p15_close_r,NUMERIC,2026,Q2,21,17,0.8095238095238095
PLUS15_CLOSE,p15_close_r,NUMERIC,2026,Q3,25,20,0.8
PLUS15_CLOSE,p15_close_r,NUMERIC,2026,Q4,28,21,0.75
PLUS15_CLOSE,p15_close_above_anchor_rate,NUMERIC,2022,Q1,53,34,0.6415094339622641
PLUS15_CLOSE,p15_close_above_anchor_rate,NUMERIC,2022,Q2,81,54,0.6666666666666666
PLUS15_CLOSE,p15_close_above_anchor_rate,NUMERIC,2022,Q3,39,32,0.8205128205128205
PLUS15_CLOSE,p15_close_above_anchor_rate,NUMERIC,2023,Q1,36,25,0.6944444444444444
PLUS15_CLOSE,p15_close_above_anchor_rate,NUMERIC,2023,Q2,69,52,0.7536231884057971
PLUS15_CLOSE,p15_close_above_anchor_rate,NUMERIC,2023,Q3,60,52,0.8666666666666667
PLUS15_CLOSE,p15_close_above_anchor_rate,NUMERIC,2024,Q1,58,40,0.6896551724137931
PLUS15_CLOSE,p15_close_above_anchor_rate,NUMERIC,2024,Q2,77,52,0.6753246753246753
PLUS15_CLOSE,p15_close_above_anchor_rate,NUMERIC,2024,Q3,59,50,0.847457627118644
PLUS15_CLOSE,p15_close_above_anchor_rate,NUMERIC,2025,Q1,57,31,0.543859649122807
PLUS15_CLOSE,p15_close_above_anchor_rate,NUMERIC,2025,Q2,82,65,0.7926829268292683
PLUS15_CLOSE,p15_close_above_anchor_rate,NUMERIC,2025,Q3,61,57,0.9344262295081968
PLUS15_CLOSE,p15_close_above_anchor_rate,NUMERIC,2026,Q1,33,20,0.6060606060606061
PLUS15_CLOSE,p15_close_above_anchor_rate,NUMERIC,2026,Q2,34,21,0.6176470588235294
PLUS15_CLOSE,p15_close_above_anchor_rate,NUMERIC,2026,Q3,40,34,0.85
