period,touch_state,plus5_state,plus15_state,final_label,n
DEV,TOUCH_CLOSE_IN_ZONE,P5_RECLAIM_ABOVE_ZONE,P15_MIXED_ZONE_ACCEPTANCE,SURVIVE,15
DEV,TOUCH_CLOSE_IN_ZONE,P5_RECLAIM_ABOVE_ZONE,TOO_FAST_CONSUMED,CONSUMED,1
DEV,TOUCH_CLOSE_IN_ZONE,P5_RECLAIM_ABOVE_ZONE,TOO_FAST_SURVIVE,SURVIVE,8
DEV,TOUCH_CLOSE_IN_ZONE,TOO_FAST_SURVIVE,TOO_FAST_SURVIVE,SURVIVE,35
REF,TOUCH_CLOSE_ABOVE_ZONE,P5_CLOSE_BELOW_FLOOR_EARLY,P15_MIXED_ZONE_ACCEPTANCE,SURVIVE,1
REF,TOUCH_CLOSE_ABOVE_ZONE,P5_CLOSE_BELOW_FLOOR_EARLY,TOO_FAST_CONSUMED,CONSUMED,1
REF,TOUCH_CLOSE_ABOVE_ZONE,P5_CLOSE_IN_ZONE,P15_MIXED_ZONE_ACCEPTANCE,CONSUMED,2
REF,TOUCH_CLOSE_ABOVE_ZONE,P5_CLOSE_IN_ZONE,P15_MIXED_ZONE_ACCEPTANCE,SURVIVE,12
REF,TOUCH_CLOSE_ABOVE_ZONE,P5_CLOSE_IN_ZONE,P15_NO_CLOSE_ABOVE_ZONE,CONSUMED,14
REF,TOUCH_CLOSE_ABOVE_ZONE,P5_CLOSE_IN_ZONE,P15_NO_CLOSE_ABOVE_ZONE,SURVIVE,14
REF,TOUCH_CLOSE_ABOVE_ZONE,P5_CLOSE_IN_ZONE,TOO_FAST_CONSUMED,CONSUMED,2
REF,TOUCH_CLOSE_ABOVE_ZONE,P5_CLOSE_IN_ZONE,TOO_FAST_SURVIVE,SURVIVE,2
REF,TOUCH_CLOSE_ABOVE_ZONE,P5_HOLD_ABOVE_ZONE,P15_ALL3_ABOVE_ZONE,CONSUMED,18
REF,TOUCH_CLOSE_ABOVE_ZONE,P5_HOLD_ABOVE_ZONE,P15_ALL3_ABOVE_ZONE,SURVIVE,88
REF,TOUCH_CLOSE_ABOVE_ZONE,P5_HOLD_ABOVE_ZONE,P15_MIXED_ZONE_ACCEPTANCE,CONSUMED,6
REF,TOUCH_CLOSE_ABOVE_ZONE,P5_HOLD_ABOVE_ZONE,P15_MIXED_ZONE_ACCEPTANCE,SURVIVE,10
REF,TOUCH_CLOSE_ABOVE_ZONE,P5_HOLD_ABOVE_ZONE,TOO_FAST_CONSUMED,CONSUMED,1
REF,TOUCH_CLOSE_ABOVE_ZONE,P5_HOLD_ABOVE_ZONE,TOO_FAST_SURVIVE,SURVIVE,12
REF,TOUCH_CLOSE_ABOVE_ZONE,P5_RECLAIM_ABOVE_ZONE,P15_ALL3_ABOVE_ZONE,CONSUMED,5
REF,TOUCH_CLOSE_ABOVE_ZONE,P5_RECLAIM_ABOVE_ZONE,P15_ALL3_ABOVE_ZONE,SURVIVE,20
REF,TOUCH_CLOSE_ABOVE_ZONE,P5_RECLAIM_ABOVE_ZONE,P15_MIXED_ZONE_ACCEPTANCE,CONSUMED,10
REF,TOUCH_CLOSE_ABOVE_ZONE,P5_RECLAIM_ABOVE_ZONE,P15_MIXED_ZONE_ACCEPTANCE,SURVIVE,9
REF,TOUCH_CLOSE_ABOVE_ZONE,P5_RECLAIM_ABOVE_ZONE,TOO_FAST_CONSUMED,CONSUMED,2
REF,TOUCH_CLOSE_ABOVE_ZONE,P5_RECLAIM_ABOVE_ZONE,TOO_FAST_SURVIVE,SURVIVE,7
REF,TOUCH_CLOSE_ABOVE_ZONE,TOO_FAST_SURVIVE,TOO_FAST_SURVIVE,SURVIVE,11
REF,TOUCH_CLOSE_IN_ZONE,P5_CLOSE_BELOW_FLOOR_EARLY,TOO_FAST_CONSUMED,CONSUMED,5
REF,TOUCH_CLOSE_IN_ZONE,P5_CLOSE_BELOW_FLOOR_EARLY,TOO_FAST_SURVIVE,SURVIVE,2
REF,TOUCH_CLOSE_IN_ZONE,P5_CLOSE_IN_ZONE,P15_MIXED_ZONE_ACCEPTANCE,CONSUMED,2
REF,TOUCH_CLOSE_IN_ZONE,P5_CLOSE_IN_ZONE,P15_MIXED_ZONE_ACCEPTANCE,SURVIVE,15
REF,TOUCH_CLOSE_IN_ZONE,P5_CLOSE_IN_ZONE,P15_NO_CLOSE_ABOVE_ZONE,CONSUMED,18
REF,TOUCH_CLOSE_IN_ZONE,P5_CLOSE_IN_ZONE,P15_NO_CLOSE_ABOVE_ZONE,SURVIVE,36
REF,TOUCH_CLOSE_IN_ZONE,P5_CLOSE_IN_ZONE,TOO_FAST_CONSUMED,CONSUMED,4
REF,TOUCH_CLOSE_IN_ZONE,P5_CLOSE_IN_ZONE,TOO_FAST_SURVIVE,SURVIVE,16
REF,TOUCH_CLOSE_IN_ZONE,P5_RECLAIM_ABOVE_ZONE,P15_ALL3_ABOVE_ZONE,CONSUMED,2
REF,TOUCH_CLOSE_IN_ZONE,P5_RECLAIM_ABOVE_ZONE,P15_ALL3_ABOVE_ZONE,SURVIVE,13
REF,TOUCH_CLOSE_IN_ZONE,P5_RECLAIM_ABOVE_ZONE,P15_MIXED_ZONE_ACCEPTANCE,CONSUMED,2
REF,TOUCH_CLOSE_IN_ZONE,P5_RECLAIM_ABOVE_ZONE,P15_MIXED_ZONE_ACCEPTANCE,SURVIVE,10
REF,TOUCH_CLOSE_IN_ZONE,P5_RECLAIM_ABOVE_ZONE,TOO_FAST_SURVIVE,SURVIVE,5
REF,TOUCH_CLOSE_IN_ZONE,TOO_FAST_SURVIVE,TOO_FAST_SURVIVE,SURVIVE,26
